Authors,Title,Year,Link,DOI,SuggestedInclusion1,SuggestedInclusion2,derived decision,FinalDecision
"M Cervera, M Albert, V Torres, V Pelechano ",A Methodological Framework to support Model Driven Method Engineering,2000,http://www.pros.webs.upv.es/site/wp-content/uploads/2015/10/PROS-TR-2011-14.pdf,,1. NO,1. NO,1. NO,1. NO
"M Rossi, T Tuunanen ",A method and tool for rapid consumer application development,2010,https://www.inderscienceonline.com/doi/abs/10.1504/IJODE.2010.035189,,1. NO,1. NO,1. NO,1. NO
"D Mishra, S Aydin, A Mishra ",Situational requirement method system: knowledge management in business support,2013,https://link.springer.com/chapter/10.1007/978-3-642-32518-2_33,,1. NO,1. NO,1. NO,1. NO
"JP Tolvanen, S Kelly ",How Domain-Specific Modeling Languages Address Variability in Product Line Development: Investigation of 23 Cases,2019,https://dl.acm.org/doi/abs/10.1145/3336294.3336316?casa_token=XyFEKsIpqMQAAAAA:2mWcfuqUJqd3l2ci_bPIDVJfODH1JNo-YxwSQnwbH7gCOdbK7QqEduiJ06con-H4swt0Phkdj6BTQY8,,1. NO,1. NO,1. NO,1. NO
"E Navarro, A Gómez, P Letelier, I Ramos ",MORPHEUS: a supporting tool for MDD,2011,https://link.springer.com/chapter/10.1007/978-1-4419-7355-9_22,,1. NO,3. YES,2. MAYBE,1. NO
J Ralyté ,Méthodes et ingénierie des méthodes,2006,https://www.researchgate.net/profile/Jolita_Ralyte/publication/269631332_Methodes_et_Ingenierie_de_Methodes/links/5bb60aff92851c192d09fc04/Methodes-et-Ingenierie-de-Methodes.pdf,,1. NO,1. NO,1. NO,1. NO
O Schulz,Entwurf und Analyse sicherheitsrelevanter Kommunikationsarchitekturen,2011,https://media.suub.uni-bremen.de/handle/elib/133,,1. NO,1. NO,1. NO,1. NO
"M Saeki, M Tsuchida, K Nishiue ",Supporting tool for assembling software specification and design methods,2000,https://ieeexplore.ieee.org/abstract/document/884759/?casa_token=8RMprQZ9SloAAAAA:-67G11ANrlJ4ItwbsRaxJL8QMFJpDdb3uvW24Ptge_l-gPUKAIYXUN7K58gMnG8VHIlOyu71kP1Q,,1. NO,1. NO,1. NO,1. NO
"FJB Ruiz, ÓS Ramón, JG Molina ",Definition of processes for MDE-based migrations,2013,https://dl.acm.org/doi/abs/10.1145/2489833.2489834?casa_token=TjgoSPkK-cEAAAAA:VHoCfI6oWtew4KYqMCK7CV9zwyKxeB9juAgQv-FVhBrg9CNTq_2S5ogGme-uGgtWerLnDcThF1w_Wf0,,1. NO,1. NO,1. NO,1. NO
"JJ Gómez-Sanz, JM Fernández-de-Alba… ",Ambient intelligence with ingenias,2012,https://link.springer.com/chapter/10.1007/978-3-642-39866-7_7,,1. NO,1. NO,1. NO,1. NO
"A El Kouhen, S Gérard, C Dumoulin… ",A component-based approach for specifying DSML's concrete syntax,2013,https://dl.acm.org/doi/abs/10.1145/2489820.2489822?casa_token=BGLlwCVxGIgAAAAA:W6RKcM2wvt6slU9lA9hXh2zkzPjC9zZWzWT-BcEypmPa2kx6daHQDfQfHQIwUZyHT_MEx1TUJM6tuM0,,1. NO,1. NO,1. NO,1. NO
D Wüest,Bridging the gap between requirements sketches and semi-formal models,2011,https://www.zora.uzh.ch/id/eprint/55675/,,1. NO,1. NO,1. NO,1. NO
D Isern Alarcón,Agent-based management of clinical guidelines,2009,https://upcommons.upc.edu/handle/2117/93968,,1. NO,1. NO,1. NO,1. NO
"S Zivkovic, D Karagiannis",Mixins and extenders for modular metamodel customisation,2016,http://eprints.cs.univie.ac.at/4908,,1. NO,1. NO,1. NO,1. NO
"S Assar, S Mallouli, C Souveyet ",A behavioral perspective in meta-modeling,2011,https://hal.archives-ouvertes.fr/hal-01513015/,,1. NO,1. NO,1. NO,1. NO
"P André, G Ardourel, G Sunyé ",The Bosco Project-A JMI-Compliant Template-based Code Generator.,2004,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.499.7019&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"F Karlsson, F Linander, F von Schéele ",A conceptual framework for time distortion analysis in method components,2014,https://link.springer.com/chapter/10.1007/978-3-662-43745-2_31,,1. NO,1. NO,1. NO,1. NO
"K Vlaanderen, G van Tuijl, S Brinkkemper… ",Incremental Method Enactment for Computer Aided Software Engineering Tools,2013,https://link.springer.com/chapter/10.1007/978-3-642-38484-4_26,,1. NO,1. NO,1. NO,1. NO
M Leppänen ,An ontological framework of method engineering: an overall structure,2007,https://www.researchgate.net/profile/Mauri_Leppaenen2/publication/228389358_An_Ontological_Framework_of_Method_Engineering_An_Overall_Structure/links/0deec522ff5dfdae43000000.pdf,,1. NO,1. NO,1. NO,1. NO
"I GARCÍA, R Fuentes-Fernandez ",A technique for defining metamodel translations,2009,https://search.ieice.org/bin/summary.php?id=e92-d_10_2043,,1. NO,1. NO,1. NO,1. NO
"MA Jeusfeld, MP Papazoglou","Information brokering: Design, search and transformation",1996,https://www.academia.edu/download/30771594/10.1.1.38.9163.pdf,,1. NO,1. NO,1. NO,1. NO
M Leppänen ,An integrated framework for meta modeling,2006,https://link.springer.com/chapter/10.1007/11827252_13,,1. NO,1. NO,1. NO,1. NO
"A Laaksonen, T Tuunanen, M Rossi ",Requirements Validation for Consumer Software by Conjoint Analysis,2004,https://www.academia.edu/download/38452633/Laaksonen_Tuunanen_Rossi_2004_ISD.pdf,,1. NO,1. NO,1. NO,1. NO
"A Abouzahra, A Sabraoui, K Afdel ",A Practical Approach for Extending DSMLs by Composing their Meta-models,2018,https://www.researchgate.net/profile/Afdel_Karim/publication/329530153_A_Practical_Approach_for_Extending_DSMLs_by_Composing_their_Metamodels/links/5c0e4a5592851c39ebe259ba/A-Practical-Approach-for-Extending-DSMLs-by-Composing-their-Metamodels.pdf,,1. NO,1. NO,1. NO,1. NO
S Kelly,Smart model versioning,2017,https://modeling-languages.com/smart-model-versioning/,,1. NO,1. NO,1. NO,1. NO
S Kelly ,"Modelling by the people, for the people",2017,https://link.springer.com/chapter/10.1007/978-3-319-74730-9_16,,1. NO,1. NO,1. NO,1. NO
"C Fuss, C Mosler, M Pettau ",RePLEX: A Model-Based Reengineering Tool for PLEX Telecommunication Systems,2007,http://journal.ub.tu-berlin.de/eceasst/article/view/80,,1. NO,1. NO,1. NO,1. NO
"K Li, J Hosking, J Grundy ",A generic technique for domain-specific visual language model refactoring to patterns,2010,http://ubsrvweb09.ub.tu-berlin.de/eceasst/article/view/597,,1. NO,1. NO,1. NO,1. NO
"P Caricato, A Grieco, F Nucci, A Zacchino… ",An open-source visual environment for discrete event simulation: DEOS,NA,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.8.4722&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"A El Kouhen, S Gérard, C Dumoulin… ",A component-based approach for specifying reusable visual languages,2013,https://ieeexplore.ieee.org/abstract/document/6645257/?casa_token=_N16Df9DSzoAAAAA:DX55Bld62KvKvzNyPQk0l4TYP-D-7r42EVci5uXSwtveziv3Wck8z7hFcnBH_EsjlBd4fzHrJyzX,,1. NO,1. NO,1. NO,1. NO
"C Kurze, P Gluchowski ",Reporting Repository: Using Standard Office Software to Manage Semantic Multidimensional Data Models,2009,https://pdfs.semanticscholar.org/2777/011a84269177c96bf2e1a0499fccab6a9a8b.pdf,,1. NO,1. NO,1. NO,1. NO
"M Cinpoeru, AM Ghiran, A Harkai… ",Model-driven context configuration in business process management systems: an approach based on knowledge graphs,2019,https://link.springer.com/chapter/10.1007/978-3-030-31143-8_14,,1. NO,1. NO,1. NO,1. NO
N Liu ,Visual languages for event integration specification,2006,https://dl.acm.org/doi/abs/10.1145/1134285.1134465?casa_token=gyeYScVRT5gAAAAA:_Oxvl4Dzdq9KGzL5JmgapzFwJg0A5bSbFxKuh28YZxDTiDC5mA7nnx6MX_xpKWo6iD9Prvrn8aHbaio,,1. NO,2. MAYBE,1. NO,1. NO
"JL Hainaut, J Henrard, JM Hick, D Roland… ",CASE tools for database engineering,2005,https://www.igi-global.com/chapter/case-tools-database-engineering/11123,,1. NO,1. NO,1. NO,1. NO
I Uhe ,Meta-CASE Worldwide,1998,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.49.2946&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"W van der Aalst, J Mylopoulos, M Rosemann, MJ Shaw…",Lecture Notes in Business Information Processing 325,2008,https://link.springer.com/content/pdf/10.1007/978-3-642-36285-9.pdf,,1. NO,1. NO,1. NO,1. NO
"P Khot, P Reddy, JK Akundi, S Sasan… ",Event-driven multi-tenant computer-management platform,2018,https://patents.google.com/patent/US10048984B2/en,,1. NO,1. NO,1. NO,1. NO
J Grundy ,Construction of an Integrated and Extensible Software Architecture Modelling Environment,2000,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.441.3934&rep=rep1&type=pdf#page=51,,1. NO,1. NO,1. NO,1. NO
M Leppanen ,A perspective ontology and IS perspectives,2008,https://books.google.de/books?hl=de&lr=&id=Xh8GGG5wbTwC&oi=fnd&pg=PA257&ots=SAvfCTGWuF&sig=Hqu9w01KXzFC1LP8XzHL-vWKy94,,1. NO,1. NO,1. NO,1. NO
E Berki ,Examining the Quality of Evaluation Frameworks and Metamodeling Paradigms of Information Systems Development Methodologies,2009,https://www.igi-global.com/chapter/innovations-information-systems-modeling/23795,,1. NO,1. NO,1. NO,1. NO
L Baresi,Personalizzazione Formale di Notazioni Grafiche,1997,https://www.academia.edu/download/30812498/thesis.pdf,,1. NO,1. NO,1. NO,1. NO
A Abedmouleh,Approche Domain-Specific Modeling pour l'opérationnalisation des scénarios pédagogiques sur les plateformes de formation à distance,2013,https://tel.archives-ouvertes.fr/tel-01019917/,,1. NO,1. NO,1. NO,1. NO
"D Wüest, N Seyff, M Glinz ",Von der Idee zum Anforderungsmodell ohne Medienbruch,2013,https://gi.de/fileadmin/FG/RE/Vortraege/2012/Wueest.pdf,,1. NO,1. NO,1. NO,1. NO
S Junginger ,Modellierung von Geschäftsprozessen,2000,http://stefanjunginger.com/mediapool/99/998477/data/Junginger_-_Modellierung_von_GP_-_State....pdf,,1. NO,1. NO,1. NO,1. NO
"C Kurze, P Gluchowski ",Towards Principles for Structuring and Managing Very Large Semantic Multidimensional Data Models,2009,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1311&context=amcis2009,,1. NO,1. NO,1. NO,1. NO
"E Dominguez, AL Rubio, MA Zapata ",Improving the Understandability of Dynamic Semantics: An Enhanced Metamodel for UML State Machines,2004,https://www.igi-global.com/chapter/advanced-topics-database-research/4354,,1. NO,1. NO,1. NO,1. NO
"JJ Gomez-Sanz, R Fuentes ",Agent oriented software engineering with web applications,2004,https://www.inderscienceonline.com/doi/abs/10.1504/IJWET.2004.006271,,1. NO,1. NO,1. NO,1. NO
M Koskinen ,Beyond Process Modelling Languages: A Metamodelling Approach to Customizable Concepts and Enactability in MetaCASE,1997,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.56.7200&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
DIC Wende,Language Family Engineering with Features and Role-Based Composition,2012,https://d-nb.info/1068443332/34,,1. NO,1. NO,1. NO,1. NO
"S Esparcia, E Argente, VJ Botti ",Describing GORMAS using the FIPA Design Process Documentation and Fragmentation Working Group template.,2010,https://pdfs.semanticscholar.org/8742/d5b73ea694f26d489b416795253eb95cfb74.pdf,,1. NO,1. NO,1. NO,1. NO
"AP Pasanen, JP Tolvanen ",Computer tool supported process design methodology,1999,https://www.sciencedirect.com/science/article/pii/S009813549980177X,,1. NO,1. NO,1. NO,1. NO
"Z Zhang, J Kaipala ",A conceptual framework for component context specification and representation in a metaCASE environment,2009,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11219-008-9069-0&casa_token=Wqm0zetd9VoAAAAA:flSxKUdibJiJTFln1ed6L_6dwvvrZplY5MyDgOTCU2eiqfBEqIVvP75dMnlN-XvpkiUskC6n88w2uFthDm0,,1. NO,1. NO,1. NO,1. NO
"M Bouarioua, A Chaoui, R Elmansouri ",From UML sequence diagrams to labeled generalized stochastic Petri net models using graph transformation,2011,https://link.springer.com/chapter/10.1007/978-3-642-22729-5_27,,1. NO,1. NO,1. NO,1. NO
V Englebert ,An OO interpretation of graphs as meta-CASE's meta-meta-model,2002,https://www.sciencedirect.com/science/article/pii/S1571066105825150,,1. NO,1. NO,1. NO,1. NO
"A Giret, V Botti",Towards a recursive agent model for an agent oriented methodology,2003,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.59.9995&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"J Peleska, O Schulz","„Reliability Analysis of Safety-Related Communication Architectures,“",2010,http://www.informatik.uni-bremen.de/agbs/jp/papers/peleska_safecomp2010.pdf,,1. NO,1. NO,1. NO,1. NO
SO Popoola,SEMI-AUTOMATED TEST MODEL GENERATION,2016,http://etheses.whiterose.ac.uk/15660/,,1. NO,1. NO,1. NO,1. NO
"J Lu, G Wang, X Tao, J Wang… ",A domain-specific modeling approach supporting tool-chain development with Bayesian network models,2020,https://content.iospress.com/articles/integrated-computer-aided-engineering/ica190612,,1. NO,1. NO,1. NO,1. NO
"K Vlaanderen, F Dalpiaz, G van Tuijl… ","Online Method Engine: A Toolset for Method Assessment, Improvement and Enactment",2014,https://www.igi-global.com/article/online-method-engine/119074,,1. NO,1. NO,1. NO,1. NO
"B Volz, S Dornstauder ",Implementing Domain Specific Process Modelling,2009,https://link.springer.com/chapter/10.1007/978-3-642-14819-4_9,,1. NO,1. NO,1. NO,1. NO
"JJ Gomez-Sanz, RF Fernández ",INGENIAS,2016,https://link.springer.com/chapter/10.1007/978-3-319-33570-4_5,,1. NO,1. NO,1. NO,1. NO
L Jinzhi,State-of-the-art of MBSE tool-chains,2019,https://www.diva-portal.org/smash/get/diva2:1313985/FULLTEXT01.pdf,,1. NO,1. NO,1. NO,1. NO
K Welsh,Design-Time and Run-Time Requirements Modelling for Adaptive Systems,2010,http://www.kriswelsh.com/data/uploads/v1.3.pdf,,1. NO,1. NO,1. NO,1. NO
"M Saeki, H Kaiya ",Constructing multi-paradigm modeling methods based on method assembly,2006,https://www.academia.edu/download/30669844/10.1.1.101.2416.pdf#page=39,,1. NO,1. NO,1. NO,1. NO
"C Datta, E Broadbent… ",Formalizing the specifications of a domain-specific language for authoring behaviour of personal service robots,2016,https://ieeexplore.ieee.org/abstract/document/7862382/?casa_token=a9jNSoE3ObwAAAAA:cP_KVIUsu32a9Sja4U6Al3SOsfN0W0umtlsOVDsbTUOOJdr3oKN9IySm7dHDnthNZXAaq_7vBVKn,,1. NO,1. NO,1. NO,1. NO
"ANW Dahanayake, HG Sol, JLG Dietz ",A fully flexible CAME in a CASE environment,1997,https://link.springer.com/chapter/10.1007/3-540-63699-4_36,,1. NO,1. NO,1. NO,1. NO
KA Monu,Using the organisational actor concept in information system analysis,2011,https://open.library.ubc.ca/collections/ubctheses/24/items/1.0072052,,1. NO,1. NO,1. NO,1. NO
N Bonjean,Auto-organisation de fragments pour la conception de processus de développement,2013,http://thesesups.ups-tlse.fr/2083/,,1. NO,1. NO,1. NO,1. NO
M Palyart,Une approche basée sur les modèles pour le développement d'applications de simulation numérique haute-performance,2012,https://tel.archives-ouvertes.fr/tel-00865535/,,1. NO,1. NO,1. NO,1. NO
"АН Иванов, ДВ Кознов, МГ Тыжгеев ","Расширение языка WebML средствами моделирования интерфейсов полнофункциональных Web-приложений, интенсивно работающих с данными",2009,http://sysprog.info/2009/02.pdf,,1. NO,1. NO,1. NO,1. NO
"K Mehlhorn, G Snelting","Informatik 2000: Neue Horizonte im neuen Jahrhundert 30. Jahrestagung der Gesellschaft für Informatik Berlin, 19.–22. September 2000",2013,https://books.google.de/books?hl=de&lr=&id=VBj0BQAAQBAJ&oi=fnd&pg=PA1&ots=jXP0aWWOlx&sig=ue6QuRi-ggiFCfkG0IuCftc2TRg,,1. NO,1. NO,1. NO,1. NO
"J Ebert, F Lehner",Referenz-Metaschema für visuelle Modellierungssprachen,NA,https://userpages.uni-koblenz.de/~ist/documents/Winter2000RFV.pdf,,1. NO,1. NO,1. NO,1. NO
"C Hahn, O Shafiq, G Benguria, S Kämper, AJ Berre",Deliverable D5. 1 Model transformation and deployment architecture description,NA,https://www.sti-innsbruck.at/sites/default/files/shape_d51.pdf,,1. NO,1. NO,1. NO,1. NO
A Fernández-Caballero,lill: Ili,NA,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.103.6415&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
"M Soltani, P Derakhshanfar, X Devroey… ",RESEARCH OUTPUTS/RÉSULTATS DE RECHERCHE,2020,https://pure.unamur.be/ws/portalfiles/portal/52117774/s10664-019-09762-1.pdf,,1. NO,1. NO,1. NO,1. NO
"B El Khalyly, A Belangour, M Banane… ",A new metamodel approach of CI/CD applied to Internet of Things Ecosystem,2020,https://ieeexplore.ieee.org/abstract/document/9314485/?casa_token=7XUeDqjkHioAAAAA:rPF24Xat1UF9gQzBFVLcjvb9s2FsIiDQorjzSMHlFXB3bQiOGN36sjUteIW4HZt-Otuo5c2kZ05u,,1. NO,1. NO,1. NO,1. NO
"A Lehtinen, A Salminen ",Computer Aided Support for Content Management Development,2007,https://www.researchgate.net/profile/Mauri-Leppaenen/publication/221014146_Towards_an_Abstraction_Ontology/links/09e4150b6e6802d946000000/Towards-an-Abstraction-Ontology.pdf#page=317,,1. NO,1. NO,1. NO,1. NO
SMA Shah,Model transformation dependability evaluation by the automated creation of model generators,2012,http://etheses.bham.ac.uk/id/eprint/3407/,,1. NO,1. NO,1. NO,1. NO
SA DeLoach,Organization-based Model-driven Development of High-assurance Multiagent Systems,2009,https://apps.dtic.mil/sti/citations/ADA586694,,1. NO,1. NO,1. NO,1. NO
J Iivari ,Conducting Information Systems Research the Old-Fashioned Way.,2017,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1465&context=sjis,,1. NO,1. NO,1. NO,1. NO
S Brinkkemper ,From Methods via Methodology to Method Engineering: Knowledge Infrastructures for Product Software Development,2028,https://research.tue.nl/files/1879781/575460-1.pdf#page=93,,1. NO,1. NO,1. NO,1. NO
"Z Zhang, J Nummenmaa ",Moving towards Domain-Specific Modeling for Software Development,NA,https://trepo.tuni.fi/bitstream/handle/10024/65528/A-2005-3.pdf?sequence=1#page=173,,1. NO,1. NO,1. NO,1. NO
L Jinzhi,Towards a Model-based Framework for Development of Engineering Tool-chains: Supporting Cyber-physical Systems Modeling and Simulation,2017,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1128204,,1. NO,1. NO,1. NO,1. NO
J Kaipala,Improving the Hypertext Functionality in CASE Environments,NA,https://www.researchgate.net/profile/Janne_Kaipala/publication/2788520_Improving_the_Hypertext_Functionality_in_CASE_Environments/links/555c297d08ae91e75e76d00b.pdf,,1. NO,1. NO,1. NO,1. NO
A Meidan,A MDA proposal to integrate the measurement lifecycle Into the process lifecycle,2019,https://idus.us.es/handle/11441/88947,,1. NO,1. NO,1. NO,1. NO
JM Wright,A modelling language for rich internet applications: a thesis presented in partial fulfillment of the requirements for the degree of Doctor of Philosophy in Computer …,2011,https://mro.massey.ac.nz/handle/10179/3571,,1. NO,1. NO,1. NO,1. NO
SH Warwas,A model-driven framework for engineering multiagent systems,2013,https://scidok.sulb.uni-saarland.de/handle/20.500.11880/25296,,1. NO,1. NO,1. NO,1. NO
D Aguilera Moncusí,Design and Implementation of a Conceptual Modeling Assistant (CMA),2010,https://upcommons.upc.edu/handle/2099.1/11305,,1. NO,1. NO,1. NO,1. NO
"C Rolland, MB Ayed",4. Meta-modelling the Lyee software requirements,NA,http://www.lyee-project.soft.iwate-pu.ac.jp/members/ref/paper/paris1/EMMSAD.pdf,,1. NO,1. NO,1. NO,1. NO
"H Hu, R Lu, JL Zhu",Swinburne Research Bank,2001,https://researchbank.swinburne.edu.au/items/bf95a51d-64ac-4489-ae3f-cc18b200905f/1/PDF%20%28Accepted%20manuscript%29.pdf?.vi=save,,1. NO,1. NO,1. NO,1. NO
M Leppänen ,OntoFrame: An Ontological Framework for Method Engineering,2009,https://www.igi-global.com/chapter/innovations-information-systems-modeling/23788,,1. NO,1. NO,1. NO,1. NO
"MJ Marich, HF Krikorian ","Invited presentation i: lessons learned, new directions, and migration plans for model-driven development of large scale software based systems",2005,https://link.springer.com/chapter/10.1007/11557432_29,,1. NO,1. NO,1. NO,1. NO
"R Green, M Brough, S Bg ",Tim: A Prototype Tool for Integrating System Development Methods.,1997,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.35.8474&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
A Dahanayake ,Information Systems Development and the Need for Computer Aided Method Engineering,2001,https://www.igi-global.com/chapter/computer-aided-method-engineering/6872,,1. NO,1. NO,1. NO,1. NO
